JP	EN	TW	KOR	CN
ペンデュラム	Yggdrasill's Leaf	世界之樹的葉子	위그드라실의 잎사귀	世界之树的叶子
媚薬	Raven	烏鴉	도래하는 까마귀	乌鸦
教典	Human's Farm	人類的農莊	인족의 농장	人类的农庄
ローター	Fountain of Dark Elves	黑暗精靈的噴泉	다크엘프의 샘	黑暗精灵的喷泉
指輪	Forge of Dwarves	德維爾格的鍛造廠	드베르그의 대장간	德维尔格的锻造厂
ローション	Vanir's Shrine	華納神族的祭祀大廳	바니르 신족의 제사장	华纳神族的祭祀大厅
ブレスレット	Sacred Forest	神聖的樹海	신성한 수해	神圣的树海
お香	Tyr's Temple	提爾神廟	티르의 신전	提尔神庙
ネックレス	Elves' Herb Garden	精靈草藥園	엘프의 허브정원	精灵草药园
ディルド	Otherworld's Portal	異世界的傳送門	이계의 워프 게이트	异世界的传送门
ろうそく	Gate to the Underworld	通往冥界之門	지하세계의 문	通往冥界之门
バイブ	Clouds of Sacred Mountain	雲霧之海	영봉의 운해	云雾之海
ハンドベル	Cosmos Ship	宇宙之船	코스모스의 방주	宇宙之船
セクシー下着	Prophet of the Asgard	阿斯加德的先知	아스가르드의 예언자	阿斯加德的先知
天使像	The Legendary Codex	傳說的法典	전설의 법전	传说的法典
淫紋	Light of the Gods	諸神的光輝	신들의 광채	诸神的光辉
杯	Hell Purifier	地獄淨化器	지옥 정화 장치	地狱净化器
十字のオブジェクト	Outerworld's Friend	外部世界的朋友	외계의 친구	外部世界的朋友
首輪	Mystical Cyclone	神秘的漩渦	신비의 소용돌이	神秘的漩涡
教祖像	The Primordial Singularity	原始的奇點	태초의 특이점	原始的奇点
神の恵み	God's Blessings	上帝的恩典	신의 은총	上帝的恩典
ユグドラシル	Yggdrasill	世界樹	위그드라실	世界树
聖霊	Holy Spirit	聖靈	성령	圣灵
覚醒	Awakening	覺醒	각성	觉醒
催眠P	Stella	星辰	스텔라	星辰
ステラの欠片	Stella's Fragment	星辰碎片	스텔라 조각	星辰碎片
ビフレストの欠片	Bifrost's Fragment	彩虹橋碎片	비프로스트 조각	彩虹桥碎片
超越ワープ	Transcendent Warp	超級躍遷	초월 워프	超级跃迁
夜空のステラ	Stella of Night Sky	夜空恒星	밤하늘의 스텔라	夜空恒星
ラグナロク	Ragnarok	諸神黃昏	라그나로크	诸神黄昏
ユグドラシルの種	Yggdrasill's Seed	世界樹之種	위그드라실의 씨앗	世界树之种
生命の実	The Fruit of Life	生命之果	생명의 열매	生命之果
神々の威厳	The Majesty of Gods	眾神的威嚴	신들의 위엄	众神的威严
グングニル	Gungnir	永恆之矛	궁니르	永恒之矛
ミーミルの知恵	The Wisdom of Mimir	米米爾的智慧	미미르의 지혜	米米尔的智慧
ステラの所持数	Stella owned	星辰擁有數	소유한 스텔라 수	星辰拥有数
ステラ合成/秒	Stellas/sec	星辰合成/秒	스텔라 합성/초	星辰合成/秒
神々の威厳の影響でステラ合成率を+	The Majesty of Gods boosts Stella production for 	眾神的威嚴對星辰合成率+	신들의 위엄과 스텔라의 합성 비율 +	众神的威严对星辰合成率+
ラグナロクを迎え、すべてのステラが消滅し、\n○○個のユグドラシルの種に変換されます。	Ragnarok has happened and all Stellas are annihilated and converted into ○○ Yggdrasill's Seeds.	迎來諸神的黃昏，所有星辰將會被轉換為○○個世界樹之種	라그나로크를 맞이하여 모든「스텔라」가 소멸되고 ○○개의「위그드라실의 씨앗」으로 변환됩니다.	迎来诸神的黄昏，所有星辰将会被转换为○○个世界树之种
ラグナロクを迎えてもよろしいでしょうか？ 全てのプレイ進捗を失い、世界が生まれ変わります。 全ての「ステラ」は「ユグドラシルの種」に変換されます。 ※実績と一部の覚醒は継承されます。	Do you want to face the Ragnarok? All progress will be lost and the world will be reborn. All Stellas will be converted into Yggdrasill's seeds. ※Achievements and some Awakenings will be inherited.	確定要迎來諸神的黃昏嗎？ 你將會失去所有的遊戲進度，世界將會重生。 所有的星辰將會被轉換為世界樹之種。 ※成就以及一部分的覺醒將會被保留。	「라그나로크」를 맞이해도 괜찮을까요? 모든 플레이 진행이 소멸되고, 세계가 새롭게 태어납니다. 모든「스텔라」는「위그드라실 씨앗」으로 변환됩니다. ※업적과 일부 각성은 계승됩니다.	确定要迎来诸神的黄昏吗？ 你将会失去所有的游戏进度，世界将会重生。 所有的星辰将会被转换为世界树之种。 ※成就以及一部分的觉醒将会被保留。 
はい	Yes	是	예	是
いいえ	No	否	아니요	否
確定	Confirm	確定	확인	确定
取り消し	Cancel	取消	취소	取消
神々の威厳ボーナス	The Majesty of Gods Bonus	眾神的威嚴獎勵	신들의 위엄 보너스	众神的威严奖励
ユグドラシルの種所持数	Yggdrasill's Seeds owned	世界樹之種持有數	위그드라실 씨앗 개수	世界树之种持有数
新世界へ	To the New World	前往新世界	신세계로	前往新世界
オプション	Options	選項	옵션	选项
言語設定	Language Settings	語言設定	언어 설정	语言设定
セーブデータ	Save Data	遊戲存檔	저장된 데이터	游戏存档
データ保存	Save	保存遊戲	데이터 저장	保存游戏
データ削除	Delete Save Data	刪除存檔	데이터 삭제	删除存档
一般設定	General Settings	一般設定	일반 설정	一般设定
フルスクリーン	Full Screen	全熒幕	전체 화면	全荧幕
BGM	BGM	BGM	BGM	BGM
SE	SE	SE	SE	SE
レコード	Stats	記錄	기록	记录
クリック数	Number of clicks	點擊數	클릭 수	点击数
通算クリック数	Total number of clicks	累計點擊數	총 클릭 수	累计点击数
ステラ所持数	Stellas owned	星辰持有數	스텔라 수	星辰持有数
消費ステラ	Stella used	星辰消費數	소비된 스텔라	星辰消费数
ステラ合成/秒	Stellas/sec	星辰合成/秒	스텔라 합성/초	星辰合成/秒
最大ステラ合成/秒	Max Stellas/sec	最大星辰合成/秒	최대 스텔라 합성/초	最大星辰合成/秒
プレイ時間	Playtime	遊玩時間	플레이 시간	游玩时间
通算プレイ時間	Total playtime	累計遊玩時間	총 플레이 시간	累计游玩时间
生命の実所持数	Fruits of Life owned	生命之果持有數	소유한 생명의 열매 개수	生命之果持有数
生命の実消費数	Fruits of Life used	生命之果消費數	소비한 생명의 열매 개수	生命之果消费数
ステラ合成	Stellas produced	星辰合成數	스텔라 합성	星辰合成数
通算ステラ合成	Total Stellas produced	累計星辰合成數	총 스텔라 합성	累计星辰合成数
累計聖霊レベル	Total Holy Spirit Level	累計聖靈等級	총 성령 레벨	累计圣灵等级
累計覚醒解放数	Total Awakenings Released	累計覺醒解放數	총 각성 해제 횟수	累计觉醒解放数
ラグナロク実行数	Ragnarok occured	諸神黃昏執行數	라그나로크 실행 횟수	诸神黄昏执行数
ユグドラシルの種所持数	Yggdrasill's Seeds owned	世界樹之種持有數	소유한 위그드라실의 씨앗 개수(누적)	世界树之种持有数
ステラの欠片獲得数	Stella's Fragment obtained	星辰碎片獲得數	획득한 스텔라 조각 개수	星辰碎片获得数
ビフレストの欠片獲得数	Bifrost's Fragment obtained	彩虹橋碎片獲得數	획득한 비프로스트 조각 개수	彩虹桥碎片获得数
ビフレスト出現回数	Bifrost's Fragment appeared	彩虹橋出現次數	비프로스트가 나타난 횟수	彩虹桥出现次数
毎秒:	per second:	每秒:	초당:	每秒:
サウンド	Sound	音樂	소리	音乐
メディアプレイヤー	Media Player	播放器	미디어 플레이어	播放器
音量	Volume	音量	볼륨	音量
スクリーンサイズリセット	Reset Screen Size	重置熒幕大小	화면 크기 초기화	重置荧幕大小
Steam実績リセット	Reset Steam Achievements	重置Steam成就	Steam 도전 과제 초기화	重置Steam成就
ゲームデータ削除	Delete Save Data	刪除遊戲數據	게임 데이터 삭제	删除游戏数据
ゲーム終了	Quit Game	結束遊戲	게임 종료	结束游戏
クリック数（今回）	Number of clicks (this run)	點擊數（本次）	클릭 수(현재)	点击数（本次）
クリック数（通算）	Number of clicks (total)	點擊數（累計）	클릭 수(누적)	点击数（累计）
所持ステラ	Stellas owned	星辰持有數	소유 스텔라	星辰持有数
消費ステラ	Stellas used	星辰消費數	소비 스텔라	星辰消费数
ステラ合成/秒（今回）	Stellas/sec (this run)	星辰合成/秒（本次）	스텔라 합성/초(현재)	星辰合成/秒（本次）
ステラ合成/秒（通算）	Stellas/sec (total)	星辰合成/秒（累計）	스텔라 합성/초(누적)	星辰合成/秒（累计）
プレイ時間(今回)	Play time (this time)	遊玩時間（本次）	플레이 시간(현재)	游玩时间（本次）
プレイ時間(通算)	Play time (total)	遊玩時間（累計）	플레이 시간(누적)	游玩时间（累计）
最大プレイ時間	Total playtime	最長遊玩時間	최대 플레이 시간	最长游玩时间
生命の実所持数（今回）	Fruits of Life owned (this run)	生命之果持有數（本次）	소유한 생명의 열매 개수(현재)	生命之果持有数（本次）
生命の実所持数（通算）	Fruits of Life owned (total)	生命之果持有數（累計）	소유한 생명의 열매 개수(누적)	生命之果持有数（累计）
生命の実消費数（通算）	Fruits of Life used (total)	生命之果使用數（累計）	소비한 생명의 열매 개수(누적)	生命之果使用数（累计）
クリックステラ合成	Stellas produced by click	點擊合成的星辰數	클릭 스텔라 합성	点击合成的星辰数
累計合成ステラ（今回）	Stellas produced (this run)	累計合成星辰數（本次）	총 합성 스텔라(현재)	累计合成星辰数（本次）
累計合成ステラ（通算）	Stellas produced (total)	累計合成星辰數（累計）	총 합성 스텔라(누적)	累计合成星辰数（累计）
累計聖霊レベル（今回）	Total Holy Spirit Level (this run)	累計聖靈等級（本次）	총 성령 레벨(현재)	累计圣灵等级（本次）
累計覚醒解放数（今回）	Total Awakenings Released (this run)	累計覺醒解放（本次）	총 각성 해제 횟수(이번)	累计觉醒解放（本次）
ラグナロク回数（通算）	Ragnarok occured (total)	諸神黃昏的次數（累計）	라그나로크 횟수(누적)	诸神黄昏的次数（累计）
ユグドラシルの種所持数	Yggdrasill's Seeds owned	世界樹之種持有數	위그드라실의 씨앗 소지 수	世界树之种持有数
ビフレストの欠片獲得回数（通算）	Total number of times of Bifrost shards obtained (total)	彩虹橋碎片獲得次數（累計）	비프로스트 조각 획득 횟수(누적)	彩虹桥碎片获得次数（累计）
ビフレスト出現回数（通算）	Bifrost's Fragment obtained (total)	彩虹橋出現次數（累計）	비프로스트 출현 횟수(누적)	彩虹桥出现次数（累计）
ステラの欠片獲得回数（通算）	Stella's Fragment obtained (total)	星辰碎片獲得數（累計）	스텔라 조각 획득 횟수(누적)	星辰碎片获得数（累计）
ここは朽ち果てた世界...	This is a decayed world...	這個世界已經腐朽…	이곳은 시들어 썩어가는 세계...	这个世界已经腐朽…
あなたが植えた最後の種からユグドラシルは蘇りました	With the last seed you had planted, Yggdrasill is revived	你將世界樹最後的種子被種下後，世界得到了重生	당신이 심은 마지막 씨앗으로부터 위그드라실이 되살아났습니다	你将世界树最后的种子被种下后，世界得到了重生
ユグドラシルをクリックすることで『ステラ』を合成することができます	You can produce Stella by clicking Yggdrasill	點擊世界樹就可以合成【星辰】	위그드라실를 클릭하면「스텔라」를 합성할 수 있습니다	点击世界树就可以合成【星辰】
ステラは世界を蘇らせるために不可欠なもの	Stella is essential to bring the world back to life again	星辰則是這個世界復甦必不可少的關鍵	「스텔라」는 세상을 되살리는 데 필수적인 요소입니다	星辰则是这个世界复苏必不可少的关键
たくさんのステラを集めるのです	Lets collect as many Stella as you can!	請去收集更多的星辰吧	많은「스텔라」를 모아야 합니다!	请去收集更多的星辰吧
あなたのおかげで少し世界に力が戻りました	Thanks to you, the world has regained some of its power	因為你的努力這個世界恢復了些許活力	당신 덕분에 세계가 조금이나마 힘을 되찾았어요	因为你的努力这个世界恢复了些许活力
ですが…まだたくさんのステラが必要です	But... we still need more Stella.	要讓世界完全復甦還需要更多的星辰	하지만... 아직 더 많은「스텔라」가 필요해요	要让世界完全复苏还需要更多的星辰
ユグドラシルのこと、この世界のこと、頼みましたよ…	I asked you to take care of Yggdrasill and this world...	這個世界，以及世界樹……就拜託你了……	위그드라실을···, 이 세계를···, 부탁합니다...	这个世界，以及世界树……就拜托你了……
Steamの実績を削除します\nよろしいですか？	Do you really want to delete the Steam Achievements?	是否刪除所有Steam的成就？	Steam 업적을 삭제합니다\n 괜찮으십니까?	是否删除所有Steam的成就？
実績を解放！	Unlock achievement!	解放成就系統	업적 해제!	解放成就系统
ゲームのプレイデータを削除します\nよろしいですか？	Do you really want to delete save data?	是否刪除所有的遊戲存檔？	게임 플레이 데이터를 삭제합니다\n 괜찮으십니까?	是否删除所有的游戏存档？
ゲームのプレイデータを削除しました	Save data is deleted	遊戲的存檔已被刪除	게임 플레이 데이터를 삭제했습니다.	游戏的存档已被删除
ゲームを終了しますか？	Do you want to exit the game?	是否結束遊戲	게임을 종료하시겠습니까?	是否结束游戏
失われし力を使うにはステラを集める必要があります	You need to collect more Stella to regain the lost power	需要收集更多星辰來使用已經失去的力量	잃어버린 힘을 사용하려면 스텔라를 모아야 합니다	需要收集更多星辰来使用已经失去的力量
残り:	Remaining:	剩餘：	남은 시간: 	剩余：
所持:	Owned:	持有：	소지: 	持有：
解放	Release	解放	해제	解放
生命の実は聖霊に使用することができます。聖霊に使用後該当聖霊の生命の実レベルが1上昇し、合成率を+10%	The Fruit of Life can be used on Holy Spirits to increase Holy Spirits' Fruit of Life level by 1, and production rate by +10%.	生命之果可以對聖靈使用，使用後生命之果等級上升1，對象聖靈的星辰合成率+10%	생명의 열매는 성령에게 사용할 수 있습니다. 성령에 사용 후 해당 성령의 생명의 열매 레벨이 1 상승, 합성률 +10%	生命之果可以对圣灵使用，使用后生命之果等级上升1，对象圣灵的星辰合成率+10%
閉じる	Close	关闭	닫기	关闭
所持している「ステラ」から交換できる「ユグドラシルの種」の数は0個です。 本当に「ラグナロク」を迎えますか？	0 「Yggdrasill's Seeds」 can be exchanged from the 「Stella」. Do you still want to do 「Ragnarok」?	從現有的「星辰」可以兌換的「世界樹之種」為0 確認要執行「諸神黃昏」嗎？	소유하고 있는「스텔라」로부터 변환되는「위그드라실의 씨앗」의 수는 0개입니다. 정말「라그나로크」를 맞이하겠습니까?	从现有的「星辰」可以兑换的「世界树之种」为0 确认要执行「诸神黄昏」吗？ 
世界樹の根確認	Check the Roots of the Yggdrasil	查看世界樹的樹根	「세계수의 뿌리」확인	查看世界树的树根
「ビフレストの欠片」は空から稀に落ちてきます。拾うと一定時間の間、ステラの合成率が大幅に上昇します。 7つ集めると、時空を超越する力が発生し、少し未来のステラまでも手に入れることができます。 「聖霊」をレベルアップさせていき、「覚醒」で解放すると発生するようになります。	「Bifrost Fragment」 is a part of Bifrost that rarely visits from the starry sky. If you pick it up, you can temporarily increase the synthesis rate of Stella. Those who have collected 7 「Bifrost Fragments」 will be able to transcend time and space, and will also be able to obtain Stella from the future. To unlock the 「Bifrost Fragment」, level up the 「Spirit」 and unlock it with 「Awakening」	「彩虹橋碎片」是彩虹橋的一部分，有小概率會出現在宇宙中，拾取「彩虹橋碎片」後星辰的合成速度會短暫的大幅提升。 如果集齊7片「彩虹橋的碎片」則可以穿越時空並從未來獲得一定數量的星辰。 升級「聖靈」，解放「覺醒」後就可以開啟「彩虹橋的碎片」。	「비프로스트 조각」은 가끔 하늘에서 떨어지며, 주우면 일정 시간 동안 스텔라의 합성률이 크게 상승합니다. 7개 모으면 시공을 초월하는 힘이 발생하며, 조금 미래의 스텔라까지도 얻을 수 있게 됩니다. 「성령」의 레벨을 올려,「각성」을 하게 되면 발생하게 됩니다.	「彩虹桥碎片」是彩虹桥的一部分，有小概率会出现在宇宙中，拾取「彩虹桥碎片」后星辰的合成速度会短暂的大幅提升。 如果集齐7片「彩虹桥的碎片」则可以穿越时空并从未来获得一定数量的星辰。 升级「圣灵」，解放「觉醒」后就可以开启「彩虹桥的碎片」。 
「夜空のステラ」は時間が経過することで生成されるステラの結晶です。5時間ごとに1つ生成され、１つにつき合成率が＋5％となります。 「聖霊」をレベルアップさせていき、「覚醒」で解放すると発生するようになります。	「Stella of Night Sky」 is a Stella Crystal that is generated over time. It takes 5 hours to generate one, and each 「Stella of Night Sky」 gives a Stella synthesis rate of +5%. To unlock 「Stella of Night Sky」, level up your 「Spirit」 and unlock it with 「Awakening」	「夜空恒星」是隨著時間的經過結晶的星辰，每5個小時會生成一個「夜空恆星」，每個「夜空恆星」將會提升5%星辰的合成率 升級「聖靈」，解放「覺醒」後就可以開啟「夜空恆星」。	「밤하늘의 스텔라」는 시간이 지남에 따라 생성되는 스텔라의 결정입니다. 5시간마다 1개를 생산하며, 1개당 스텔라 합성률이 +5% 상승합니다. 「성령」의 레벨을 올려,「각성」을 하게 되면 발생하게 됩니다.	「夜空恒星」是随着时间的经过结晶的星辰，每5个小时会生成一个「夜空恒星」，每个「夜空恒星」将会提升5%星辰的合成率 升级「圣灵」，解放「觉醒」后就可以开启「夜空恒星」。 
「ラグナロク」は現在の世界の終焉を迎え、次の世界にすべてを託します。 所持していた「ユグドラシルの種」で「世界樹の根」を強化すると、より強い霊力を宿したユグドラシルが育まれることでしょう。 「聖霊」をレベルアップさせていき、「覚醒」で解放すると使用できるようになります。	「Ragnarok」 will turns the end of this world, uses the 「seeds of Yggdrasil」 possesses to strengthen the 「Roots of the Yggdrasil」, and entrusts everything to the next world. To unlock 「Ragnarok」, level up your 「Spirit」 and unlock it with 「Awakening」	「諸神黃昏」將迎來世界的終焉，持有的「世界樹之種」可以用來強化「世界樹的樹根」，再次迎接新的生命吧。 升級「聖靈」，解放「覺醒」後就可以開「啟諸神黃昏」。	「라그나로크」는 현재 세계의 종말을 맞이하고, 다음 세계에 모든 것을 맡깁니다. 소유한「위그드라실의 씨앗」으로「세계수의 뿌리」를 강화하면, 더욱 강한 영력을 지닌 위그드라실로 성장할 것입니다. 「성령」의 레벨을 올려,「각성」을 하게 되면 사용할 수 있게 됩니다.	「诸神黄昏」将迎来世界的终焉，持有的「世界树之种」可以用来强化「世界树的树根」，再次迎接新的生命吧。 升级「圣灵」，解放「觉醒」后就可以开「启诸神黄昏」。 
「グングニル」は使用すると一定時間の間、ステラの合成率を大幅上昇します。しばらく時間が経過すると、再び使用可能になります。 「ラグナロク」を迎えた後に「世界樹の根」から解放することができます。	「Gungnir」 greatly increases the synthesis rate of Stella for a certain period of time after use. 「Gungnir」 will become available again after a while. 「Gungnir」 can be unlocked by strengthening the 「Roots of the Yggdrasil」 after the 「Ragnarok」.	「永恆之矛」使用後，一段時間內星辰的合成率將大幅提升，經過一段時間後「永恆之矛」可以再度使用。 在「諸神黃昏」後的世界強化「世界樹的樹根」來開啟「永恆之矛」	「궁그닐」은 사용하면 일정 시간 동안 스텔라의 합성률이 크게 상승하며, 시간이 조금 흐른 후에는 다시금 사용할 수 있게 됩니다. 「라그나로크」를 맞이한 후에「세계수의 뿌리」에서 해방할 수 있습니다.	「永恒之矛」使用后，一段时间内星辰的合成率将大幅提升，经过一段时间后「永恒之矛」可以再度使用。 在「诸神黄昏」后的世界强化「世界树的树根」来开启「永恒之矛」
「ミーミルの知恵」は使用すると一定時間の間、ステラが自動で合成されるようになります。しばらく時間が経過すると、再び使用可能になります。 「ラグナロク」を迎えた後に「世界樹の根」から解放することができます。	「Mimir's Wisdom」 will automatically synthesize for a certain period of time. 「Mimir's Wisdom」 will become available again after a while. 「Mimir's Wisdom」 can be unlocked by strengthening the 「Roots of the Yggdrasil」 after the 「Ragnarok」.	「米米爾的智慧」使用後，一段時間內星辰將會自動合成，經過一段時間後「米米爾的智慧」可以再度使用。 在「諸神黃昏」後的世界強化「世界樹的樹根」來開啟米米爾的智慧	「미미르의 지혜」를 사용하면 일정 시간 동안 스텔라를 자동으로 합성되며, 시간이 조금 흐른 후에는 다시금 사용할 수 있게 됩니다. 「라그나로크」를 맞이한 후에「세계수의 뿌리」에서 해방할 수 있습니다.	「米米尔的智慧」使用后，一段时间内星辰将会自动合成，经过一段时间后「米米尔的智慧」可以再度使用。 在「诸神黄昏」后的世界强化「世界树的树根」来开启米米尔的智慧
女神のギャラリー	Goddess Gallery	女神的畫廊	여신의 갤러리	女神的画廊
ヴァルハラのどこかに世界を守る女神たちの肖像画が保存されている。女神のギャラリーを解放後、合計聖霊レベル100毎に新な女神を入手可能になります。	Somewhere in the Valhalla there are portraits of the goddesses who protect the world. After unlocking the Goddess Gallery, a new Goddess will become available for every 100 total Spirit Level.	在英靈殿的某處存放著守護世界女神們的畫像。在開放女神的畫廊後，聖靈等級每上升100將可以購買新的女神畫像。	발할라 어딘가에 세계를 수호하는 여신들의 초상이 있습니다. 여신 갤러리를 잠금 해제한 후 총 스피릿 레벨 100마다 새로운 여신을 사용할 수 있습니다.	在英灵殿的某处存放着守护世界女神们的画像。在开放女神的画廊后，圣灵等级每上升100将可以购买新的女神画像。	
アルビルダ	Alvilda	阿爾維爾達	알빌다	阿尔维尔达
エイサー	Eisa	艾薩	에이사	艾萨
ソーラ	Thora	托拉	토라	托拉
ノット	Nott	諾特	노트	诺特
アルビトル	Alvitr	阿爾維特	알비트르	阿尔维特
ソル	Sol	索伊	솔	索伊
ナンナ	Nanna	娜娜	난나	娜娜
シニア	Sýnia	西尼亞	시니아	西尼亚
フリナ	Hlína	赫利納	흘리나 	赫利纳
エオストレ	Eostre	奧斯特	에오스트레	奥斯特
スカディ	Skadi	斯卡迪	스카디	斯卡迪